nodo,pagerank,controlabilidad
336113,0.0530000000,0.0775621625
336343,0.0219000000,0.1556584179
348003,0.0131000000,0.2995667913
350373,0.0039200000,0.2460981544
368623,0.0066700000,0.4368286749
369893,0.0796007231,0.1496053647
379983,0.0259000000,0.2570173877
383323,0.0210000000,0.6311198148
385463,0.0307000000,0.1837873123
393543,0.0103000000,0.0776215061
394313,0.0996724796,0.3622930390
404133,0.1537609954,0.0881253338
406073,0.0084400000,0.1935196724
408813,0.0210000000,0.2580855736
421523,0.0157000000,0.7668387633
435423,0.0261000000,0.4101240282
447813,0.0150000000,0.6108836271
469153,0.0232000000,0.3345795502
471323,0.0079900000,0.5024034182
471963,0.0468000000,0.2033113762
495393,0.0039200000,0.2424781912
496723,0.0185000000,0.1458073705
511533,0.0064200000,0.2299566791
517143,0.0372000000,0.0447451190
545463,0.0174000000,0.2411726307
546313,0.0134000000,0.4296480921
557503,0.0099500000,0.2656815619
560293,0.0297000000,0.3807489170
586803,0.0164000000,0.0559017269
591873,0.0299000000,0.1333452021
592313,0.0039200000,0.7615571776
593023,0.0071400000,0.2656222183
595433,0.0039200000,0.5196724230
598953,0.0322000000,0.6441754199
603883,0.0211000000,0.3602160109
607063,0.0151000000,0.6931339386
607643,0.0081900000,0.5507091567
607843,0.0704118633,0.1374992582
608473,0.1172954609,0.0626075604
608803,0.0258000000,0.0769687259
610273,0.0066400000,0.4890510949
610533,0.0605000000,0.2280576820
610793,0.0335000000,0.2220046288
611243,0.0039200000,0.5441813542
611283,0.0261000000,0.1321583289
611613,0.0039200000,0.6053053231
611953,0.0684637640,0.0680671770
614103,0.0266000000,0.1432555931
614623,0.0151000000,0.3519672423
614683,0.0167000000,0.6151563705
614853,0.0367000000,0.6001424248
615343,0.0141000000,0.5229956679
615403,0.0952870228,0.1940537654
615413,0.0375000000,0.2868672482
616723,0.0039200000,0.3702450893
617053,0.0381000000,0.3211678832
618763,0.0379000000,0.2896564002
619433,0.0091200000,0.5693430657
620553,0.0378000000,0.1115660792
620763,0.0043300000,0.1328111091
620813,0.0142000000,0.1972583229
620863,0.0351000000,0.0461693668
621003,0.0173000000,0.5532015904
621393,0.0209000000,0.3349356121
621713,0.0372000000,0.1780309774
622053,0.0172000000,0.3485846537
623133,0.0340000000,0.1247997152
623483,0.0151000000,0.1955967005
623623,0.1124105630,0.0763752893
623973,0.0039200000,0.4830573853
624023,0.0086000000,0.1602278797
624683,0.0536000000,0.3751112694
625093,0.0067300000,0.1219512195
625513,0.0039200000,0.4997329535
625833,0.0039200000,0.5505904694
626183,0.0599000000,0.2386801970
626593,0.0151000000,0.5368820841
