nodo,controlability,kshell
44453,0.1705536763,4
45013,0.1709690820,6
45443,0.2392736336,3
45523,0.0926947956,4
46463,0.9045753961,5
47023,0.1214764702,3
47083,0.2899531185,6
47293,0.1786244140,4
47333,0.3235416296,6
47973,0.1713251439,8
48193,0.9843332740,2
48443,0.1237315293,8
48903,0.1063438372,5
49333,0.4220521037,3
50043,0.1034359979,6
50933,0.1625422824,6
51013,0.0993412854,4
53103,0.2057444662,5
53213,0.0936442941,7
53453,0.6752121536,2
53953,0.0559017269,6
54553,0.0808260637,6
54733,0.0688979883,5
54793,0.1525725476,3
55273,0.1093703638,6
55523,0.9421399323,3
55573,0.5548632129,5
55733,0.1041481218,6
55753,0.2008189425,4
55823,0.6321880007,3
56653,0.0407690938,9
56733,0.2990920420,5
56833,0.1361343540,7
56903,0.3123256780,5
57323,0.0652186814,4
57353,0.5397305798,2
57383,0.6679128835,2
57443,0.0483650822,3
57773,0.4041303187,6
57863,0.4582517358,2
58863,0.8585840603,2
59033,0.4984273930,3
59313,0.2261586849,3
59643,0.1648566851,5
60063,0.3746958637,4
60313,0.1591596938,4
60463,0.3208118213,3
61233,0.0549522284,6
61633,0.1557771052,6
62763,0.1738769213,7
62983,0.0964927898,5
64543,0.5191383301,3
65073,0.5448341345,2
65473,0.3892350602,2
65573,0.0956619785,4
66133,0.1723933298,2
66583,0.1094890511,7
66653,0.1511482998,5
67753,0.4701798113,3
67923,0.1633730936,6
68453,0.3622930390,6
68783,0.5766423358,2
69743,0.0627855914,7
70373,0.2506676162,5
70723,0.1674084624,2
71353,0.2021838467,9
72373,0.1005875022,7
72883,0.2824758175,6
73703,0.0994006290,5
73823,0.6025161711,2
73843,0.0675330841,6
74673,0.5040056970,4
74683,0.2211144739,5
75093,0.6918877218,2
75533,0.4730283069,5
76043,0.1411192214,6
76123,0.7423891757,5
76643,0.2126283307,3
77063,0.2133997982,4
78163,0.8325321939,2
78393,0.7979941843,2
78733,0.2734555813,2
78743,0.2075841196,3
79903,0.1280042727,2
80313,0.4349890214,4
81193,0.2179692600,5
81213,0.2314996143,4
81513,0.4461456293,2
82433,0.1934603288,5
86843,0.1259272447,3
89903,0.7563349356,2
104203,0.7504599134,4
109293,0.1626609697,4
111483,0.0623701858,5
118013,0.1900777402,4
120253,0.0445077444,7
125033,0.0376832236,4
125503,0.1028425613,2
139113,0.2328051748,6
160763,0.0427274346,8
161043,0.1021304374,3
165293,0.2390362590,5
182563,0.2373746365,4
186193,0.7184143374,2
194323,0.0966114771,5
211523,0.7565723102,3
249153,0.1799299745,2
277813,0.5009791704,3
279603,0.3285264969,5
284933,0.1773781971,4
302823,0.0639724645,5
307503,0.1497240520,4
330093,0.1948845766,7
332083,0.0731707317,4
332163,0.7149130615,4
334503,0.6266690404,3
336113,0.0775621625,6
336343,0.1556584179,4
348003,0.2995667913,3
350373,0.2460981544,3
368623,0.4368286749,5
369893,0.1496053647,6
379983,0.2570173877,4
383323,0.6311198148,5
385463,0.1837873123,4
393543,0.0776215061,3
394313,0.3622930390,6
404133,0.0881253338,9
406073,0.1935196724,3
408813,0.2580855736,4
421523,0.7668387633,3
435423,0.4101240282,6
447813,0.6108836271,2
469153,0.3345795502,5
471323,0.5024034182,2
471963,0.2033113762,8
495393,0.2424781912,4
496723,0.1458073705,8
511533,0.2299566791,3
517143,0.0447451190,6
545463,0.2411726307,4
546313,0.4296480921,3
557503,0.2656815619,2
560293,0.3807489170,5
586803,0.0559017269,3
591873,0.1333452021,3
592313,0.7615571776,2
593023,0.2656222183,3
595433,0.5196724230,2
598953,0.6441754199,6
603883,0.3602160109,4
607063,0.6931339386,4
607643,0.5507091567,2
607843,0.1374992582,5
608473,0.0626075604,9
608803,0.0769687259,2
610273,0.4890510949,3
610533,0.2280576820,5
610793,0.2220046288,7
611243,0.5441813542,2
611283,0.1321583289,4
611613,0.6053053231,2
611953,0.0680671770,9
614103,0.1432555931,3
614623,0.3519672423,2
614683,0.6151563705,4
614853,0.6001424248,4
615343,0.5229956679,3
615403,0.1940537654,5
615413,0.2868672482,5
616723,0.3702450893,4
617053,0.3211678832,5
618763,0.2896564002,3
619433,0.5693430657,2
620553,0.1115660792,4
620763,0.1328111091,4
620813,0.1972583229,3
620863,0.0461693668,8
621003,0.5532015904,2
621393,0.3349356121,3
621713,0.1780309774,5
622053,0.3485846537,3
623133,0.1247997152,8
623483,0.1955967005,3
623623,0.0763752893,6
623973,0.4830573853,2
624023,0.1602278797,2
624683,0.3751112694,5
625093,0.1219512195,6
625513,0.4997329535,2
625833,0.5505904694,2
626183,0.2386801970,5
626593,0.5368820841,3
627213,0.1432555931,4
627303,0.2494213993,3
627813,0.3288232152,4
629843,0.5701738769,5
630113,0.1627796570,5
630793,0.0707969853,5
631823,0.1464008071,2
632053,0.8310486025,2
632173,0.8443415821,5
632433,0.0253397425,7
632443,0.0413031868,7
633293,0.5769983977,5
634433,0.2313809269,3
635633,0.1041481218,6
636593,0.4461456293,2
636843,0.3248471901,7
637533,0.1331671711,3
637773,0.1891282416,2
638323,0.2610527565,4
638403,0.1853895911,3
639433,0.3003976025,2
639973,0.7871342947,2
640983,0.1601091923,5
641483,0.3094178387,6
641953,0.1520384547,4
643323,0.1387454750,3
646663,0.0831998101,3
649283,0.6253041363,3
649713,0.0671176785,6
652193,0.7200166162,4
652293,0.3582576702,6
653433,0.3419975076,2
655313,0.6408521749,2
656423,0.3498902142,3
656433,0.1877039938,4
656543,0.7311732241,2
656713,0.2882321524,2
657083,0.1561925108,3
657293,0.4457302237,4
657693,0.3523826479,2
658033,0.3994421696,4
658293,0.4504777165,2
659393,0.4389057029,3
659803,0.3755266750,2
660823,0.4498249362,5
661573,0.5754554626,2
662763,0.6121891876,7
663463,0.0956026349,6
665023,0.4705952169,2
666043,0.0432021839,6
666523,0.1218325322,5
667003,0.0336478547,4
667873,0.3238383479,3
668243,0.2641386268,4
668423,0.4707732479,2
669303,0.1690700849,4
671083,0.6804343956,2
671483,0.0605305323,4
671503,0.3427689751,3
671763,0.7472553558,5
672473,0.7201946472,2
672493,0.7418550828,3
673743,0.2673431844,7
674383,0.0672363658,6
674593,0.1484778351,6
675563,0.1524538603,6
676493,0.8994718414,3
676923,0.6598421459,3
677523,0.2726247700,2
678233,0.8965046585,2
678323,0.1389828497,7
678893,0.6651830752,3
679173,0.0966708207,2
679303,0.1535813898,7
680653,0.1929855795,5
680953,0.3768915791,2
681333,0.2695982434,5
681473,0.0775028188,5
682023,0.3190315115,4
682823,0.1532846715,3
682993,0.2526853006,2
684323,0.6580024924,2
685063,0.1795145689,4
685183,0.5356358673,3
685593,0.5543291199,2
686483,0.3975431725,4
686993,0.1416533143,6
688553,0.6823927363,2
688933,0.0275948015,5
688983,0.5102961249,3
