nodo,pagerank,kshell
680653,0.0265000000,5
680953,0.0039200000,2
681333,0.0039200000,5
681473,0.0268000000,5
682023,0.0039200000,4
682823,0.0077200000,3
682993,0.0065300000,2
684323,0.0109000000,2
685063,0.0128000000,4
685183,0.0069900000,3
685593,0.0111000000,2
686483,0.0264000000,4
686993,0.0347000000,6
688553,0.0079500000,2
688933,0.0098400000,5
688983,0.0178000000,3
690503,0.0039200000,2
691353,0.0550000000,5
693883,0.0235000000,5
694283,0.0476000000,9
695603,0.0039200000,5
697293,0.0039200000,2
697613,0.0505000000,4
698813,0.0426000000,4
701603,0.0050400000,2
701923,0.0039200000,4
704563,0.0039200000,5
704863,0.0306000000,5
705953,0.0219000000,4
706273,0.0099700000,4
708653,0.0261000000,5
709853,0.0039200000,2
710133,0.0039200000,4
710563,0.0129000000,4
710613,0.0643744799,5
710913,0.0039200000,9
711303,0.5563597879,9
711653,0.0056000000,3
711803,0.0482000000,6
711963,0.0099600000,3
712173,0.0282000000,4
713223,0.0276000000,5
713263,0.0388000000,3
713333,0.1036454184,6
714563,0.0157000000,3
714913,0.0039200000,2
715113,0.0121000000,5
715133,0.0227000000,3
716893,0.0039200000,9
717003,0.1282468893,8
717043,0.0039200000,2
717893,0.0389000000,5
720323,0.0105000000,2
720503,0.0039200000,4
721613,0.0137000000,5
722133,0.0137000000,3
722553,0.0076800000,2
722673,0.0131000000,2
722933,0.0054200000,4
722973,0.0039200000,2
724273,0.0298000000,3
724643,0.0289000000,6
724783,0.0272000000,5
725093,0.0413000000,9
725353,0.0039200000,3
725473,0.0264000000,2
725553,0.0193000000,4
726983,0.0150000000,4
727513,0.0195000000,5
727943,0.1169021589,6
730423,0.0151000000,3
730543,0.0227000000,7
731163,0.0505000000,2
731253,0.0926840940,5
731513,0.0366000000,2
731923,0.0699167227,7
732723,0.0114000000,2
732763,0.0079900000,2
732943,0.0039200000,4
733383,0.0405000000,2
733803,0.0547000000,6
733893,0.0543000000,6
734153,0.0191000000,4
734203,0.0192000000,5
735123,0.0039200000,4
735513,0.0090500000,2
736483,0.0210000000,4
739853,0.0039200000,2
740203,0.0221000000,4
740983,0.0613000000,6
741553,0.0709980857,6
742343,0.0039200000,2
742713,0.0238000000,2
742883,0.0107000000,4
744903,0.0250000000,3
745553,0.0039200000,2
745903,0.0161000000,3
746323,0.2064226871,9
747493,0.0075500000,3
748933,0.0207000000,2
749333,0.2040598016,8
749453,0.0491000000,8
749483,0.0039200000,2
749493,0.0142000000,2
749863,0.1045748733,6
750823,0.0167000000,3
751633,0.0199000000,4
752603,0.0303000000,4
752703,0.0279000000,5
752743,0.0069600000,9
753743,0.0283000000,3
754003,0.0535000000,7
754497,0.0084500000,3
754556,0.0039200000,9
754571,0.0109000000,2
754581,0.0140000000,2
754656,0.0075300000,2
754682,0.0039200000,5
754685,0.0128000000,2
754727,0.0256000000,2
754741,0.0118000000,3
754807,0.0162000000,7
754820,0.0227000000,2
754823,0.0074600000,3
754839,0.0157000000,3
754870,0.0335000000,6
754873,0.0039200000,3
754969,0.0159000000,4
754973,0.0157000000,2
755001,0.0039200000,3
755083,0.0039200000,3
755086,0.0245000000,6
755172,0.0039200000,5
755241,0.0659083925,5
755258,0.0085800000,2
755311,0.0039200000,3
755340,0.0039200000,5
755370,0.0073200000,2
755389,0.0851789977,7
755574,0.0176000000,4
755756,0.0360000000,6
755768,0.0218000000,5
756047,0.0039200000,3
756139,0.0039200000,2
756236,0.0135000000,3
756357,0.0039200000,2
756391,0.0089300000,3
756400,0.0039200000,3
756431,0.0457000000,6
756532,0.0039200000,6
756742,0.0316000000,8
756745,0.0080200000,8
756872,0.0532000000,6
756927,0.0336000000,3
756975,0.0558000000,4
757149,0.0198000000,5
757725,0.0107000000,2
757838,0.0407000000,4
757903,0.0155000000,3
758061,0.0204000000,5
758073,0.0137000000,3
758114,0.0275000000,5
758144,0.0891522839,6
758185,0.0213000000,3
758799,0.0113000000,5
758970,0.0757284277,6
759036,0.0732288041,6
759137,0.0039200000,5
759186,0.0623000000,8
759720,0.0039200000,4
759791,0.0312000000,5
759926,0.0137000000,3
760579,0.0093300000,3
760635,0.0054400000,2
760983,0.0121000000,3
761058,0.0070800000,5
761153,0.0039200000,3
761362,0.0140000000,3
761428,0.0872719391,9
761483,0.0108000000,4
761492,0.0039200000,2
761627,0.0240000000,2
761906,0.0674667632,6
761969,0.1172604366,7
762041,0.0074200000,2
762115,0.0644948590,5
763060,0.0159000000,3
763170,0.0427000000,5
763237,0.0095100000,2
763403,0.0455000000,5
763489,0.0248000000,3
763564,0.0039200000,2
763803,0.0508000000,6
764035,0.0091800000,4
764853,0.0113000000,4
764980,0.0168000000,6
765080,0.0129000000,3
765307,0.0584000000,6
765456,0.0039200000,3
765609,0.0175000000,3
765686,0.0078500000,3
765942,0.0057200000,2
766009,0.0512000000,6
766081,0.0039200000,3
766291,0.0070200000,2
766328,0.0213000000,6
767022,0.0039200000,2
767610,0.0235000000,2
767749,0.0039200000,3
768288,0.0486000000,5
768383,0.0246000000,4
768551,0.0450000000,4
768579,0.0440000000,9
768617,0.0353000000,5
768761,0.0039200000,2
768783,0.0558000000,9
768828,0.0071100000,3
768841,0.0254000000,5
768856,0.0288000000,4
768874,0.0039200000,2
769000,0.0334000000,3
769123,0.0756541813,7
769147,0.0345000000,4
769167,0.0210000000,3
769696,0.0278000000,3
769746,0.0188000000,4
769937,0.0448000000,5
770312,0.0110000000,2
770441,0.0350000000,5
770606,0.0039200000,2
771278,0.0629000000,8
771335,0.0118000000,4
771677,0.0261000000,2
772049,0.0089600000,2
772054,0.0039200000,4
772471,0.0432000000,8
772516,0.0640000000,9
772523,0.0039200000,4
772626,0.0223000000,4
772669,0.0220000000,5
772742,0.0039200000,2
772787,0.0240000000,5
772928,0.0631000000,9
773150,0.0082600000,4
773287,0.0150000000,2
773310,0.0039200000,2
773545,0.0145000000,4
773796,0.0225000000,3
773841,0.0187000000,9
774037,0.0431000000,4
774058,0.0078700000,2
774169,0.0160000000,2
774269,0.0132000000,4
774280,0.0150000000,4
774292,0.0078300000,3
774311,0.0429000000,4
774374,0.0039200000,5
774502,0.0295000000,6
774675,0.0583000000,9
774941,0.0079500000,3
774980,0.0581000000,9
775187,0.0507000000,4
776013,0.0184000000,5
776031,0.0448000000,7
776038,0.0179000000,4
776052,0.0127000000,7
776250,0.0039200000,3
776260,0.0422000000,5
776440,0.0804531194,5
776449,0.0039200000,3
776747,0.0432000000,9
776984,0.0094600000,3
777121,0.0445000000,5
777466,0.0039200000,4
777560,0.0264000000,5
777669,0.0039200000,2
777859,0.0247000000,5
778057,0.0591000000,8
778162,0.0144000000,5
778332,0.0150000000,2
778376,0.0039200000,3
778446,0.1937470902,9
778604,0.0293000000,6
778769,0.0039200000,2
778787,0.0284000000,3
778974,0.0248000000,9
779135,0.0039200000,2
779150,0.0226000000,4
779154,0.0526000000,8
779283,0.0081500000,3
779451,0.0087500000,5
779476,0.0081100000,3
779578,0.0893592793,9
779583,0.0508000000,9
779715,0.0222000000,6
779900,0.0296000000,5
780006,0.0394000000,6
780050,0.0244000000,5
780198,0.0438000000,2
780240,0.0254000000,3
780290,0.0245000000,5
780308,0.0289000000,5
780419,0.0186000000,8
780613,0.0072700000,3
780641,0.0454000000,5
781168,0.0691578371,7
781280,0.1200440469,7
781310,0.0345000000,7
781314,0.0266000000,5
781441,0.0069900000,2
781530,0.0040600000,4
781575,0.0123000000,5
781730,0.0299000000,3
782053,0.0152000000,5
782263,0.0217000000,5
782310,0.0552000000,6
782329,0.0234000000,2
782352,0.0039200000,3
782482,0.0871958053,7
782721,0.0105000000,3
783328,0.0039200000,2
783393,0.0145000000,4
783573,0.0063900000,2
783705,0.0039200000,9
783771,0.0159000000,2
783775,0.0039200000,2
783870,0.0257000000,7
783930,0.0399000000,7
783937,0.0150000000,4
784132,0.0509000000,7
784165,0.0220000000,4
784351,0.0095500000,4
784457,0.0039200000,2
784907,0.0149000000,3
784912,0.0203000000,3
784952,0.0252000000,4
784981,0.0069000000,4
784998,0.0285000000,5
785016,0.0078800000,3
785164,0.0039200000,3
785230,0.0039200000,9
785264,0.1009540724,9
785270,0.0039200000,7
785477,0.0331000000,2
785485,0.0238000000,3
785510,0.0039200000,5
785637,0.0362000000,6
785675,0.0039200000,7
785730,0.0039200000,2
785997,0.0323000000,7
786040,0.0088800000,3
786152,0.0256000000,5
786342,0.0329000000,5
786382,0.0273000000,2
786491,0.0484000000,6
786750,0.0105000000,5
786795,0.0162000000,2
786836,0.0391000000,4
786916,0.0070500000,3
786937,0.0275000000,7
787166,0.0334000000,6
787438,0.0039200000,2
787596,0.0183000000,3
787910,0.0378000000,9
788034,0.0039200000,2
788247,0.0138000000,4
788299,0.0184000000,6
788350,0.0108000000,2
788570,0.0106000000,3
788642,0.0098000000,4
788670,0.0039200000,2
788863,0.0296000000,6
789068,0.0039200000,2
789072,0.0091700000,6
789109,0.0221000000,5
789158,0.0394000000,6
789286,0.0039200000,2
789580,0.0970292156,9
790000,0.0183000000,5
790079,0.0171000000,9
790800,0.1040472508,9
791003,0.0039200000,3
791045,0.0702012856,6
791125,0.0039200000,6
791250,0.0039200000,6
791288,0.0187000000,4
791300,0.0067100000,3
791838,0.0332000000,8
791951,0.0039200000,2
792121,0.0110000000,5
792177,0.0179000000,2
792230,0.0039200000,2
792333,0.0883293247,8
792443,0.0200000000,2
792563,0.0065800000,2
792596,0.0130000000,4
792646,0.1041603176,5
792764,0.0039200000,6
792909,0.0162000000,2
793024,0.0214000000,5
793112,0.0213000000,3
793238,0.0792380409,9
793342,0.0235000000,7
793695,0.0096000000,2
793721,0.0118000000,3
793772,0.0365000000,5
793909,0.0316000000,9
794136,0.0039200000,5
794227,0.0039200000,4
794309,0.0125000000,2
794633,0.0873064286,9
794784,0.0039200000,2
794801,0.0401000000,6
794885,0.0343000000,9
795100,0.0355000000,4
795360,0.0514000000,8
795448,0.0091400000,3
796135,0.1742154409,9
796772,0.0326000000,8
797203,0.0448000000,9
797285,0.0369000000,5
797835,0.0198000000,3
797840,0.0205000000,4
797943,0.0065600000,2
798007,0.0288000000,8
798102,0.0148000000,2
798171,0.0110000000,4
798201,0.0088400000,4
798295,0.0200000000,2
798391,0.0266000000,9
798478,0.0156000000,4
798577,0.0485000000,8
798645,0.0121000000,2
798851,0.0168000000,4
798952,0.0039200000,2
799088,0.0674774214,6
799198,0.0224000000,6
799246,0.0164000000,4
799247,0.0055000000,3
799254,0.0039200000,4
799286,0.0158000000,5
799297,0.0087600000,3
799390,0.0169000000,9
799499,0.0332000000,3
799532,0.0039200000,4
799645,0.0661041769,4
799963,0.0039200000,3
799965,0.0244000000,5
800031,0.0184000000,2
800069,0.0169000000,4
800076,0.0659317123,6
800364,0.0039200000,5
800407,0.0170000000,3
800548,0.0278000000,4
800991,0.0582000000,5
801123,0.0493000000,5
801173,0.0144000000,4
801446,0.0143000000,5
801486,0.0039200000,4
801587,0.0039200000,7
801660,0.0183000000,6
801917,0.0065600000,3
802093,0.0262000000,5
802212,0.0066800000,2
802225,0.0703303834,6
802833,0.0039200000,2
803201,0.0265000000,6
803324,0.0039200000,2
803890,0.0157000000,4
803938,0.0054400000,2
803975,0.0978265051,4
803979,0.0094400000,2
804070,0.0140000000,2
804138,0.0039200000,4
804358,0.0264000000,8
804382,0.0039200000,2
804416,0.0039200000,2
804457,0.0039200000,2
804683,0.0566000000,3
804763,0.0039200000,7
804808,0.0141000000,2
805066,0.0039200000,2
805124,0.0147000000,4
805280,0.0065600000,3
805450,0.0134000000,5
805758,0.0177000000,3
805991,0.0112000000,6
806043,0.0096400000,5
806057,0.0123000000,4
806539,0.0039200000,9
806753,0.0538000000,9
807091,0.0119000000,5
807161,0.0122000000,2
807649,0.0501000000,9
807720,0.0039200000,4
807776,0.0172000000,2
807891,0.0444000000,6
807913,0.0467000000,8
807933,0.0281000000,6
808096,0.0282000000,4
808213,0.0039200000,5
808520,0.0407000000,9
808739,0.0071800000,3
808847,0.0039200000,3
809093,0.0230000000,5
809131,0.0177000000,5
809138,0.0191000000,3
809184,0.0242000000,5
809288,0.0245000000,2
809445,0.0415000000,4
809760,0.0560000000,6
809866,0.0343000000,6
810134,0.0100000000,5
810204,0.0039200000,4
810224,0.0039200000,2
810560,0.0128000000,3
810579,0.0039200000,5
810647,0.0039200000,2
810948,0.0065800000,3
811051,0.0674720378,6
811099,0.0144000000,4
811255,0.0170000000,5
811453,0.0132000000,3
812126,0.0141000000,6
812493,0.0125000000,2
812842,0.0039200000,5
813365,0.0039200000,5
813491,0.0410000000,6
813524,0.0083000000,3
813670,0.0039200000,3
813798,0.0091800000,4
814056,0.0087600000,4
814153,0.0039200000,3
814253,0.1420699277,8
814256,0.1484425279,8
814293,0.0523000000,8
814304,0.0840061963,8
814310,0.0067600000,5
814422,0.0095400000,4
814859,0.0259000000,5
814881,0.0200000000,2
814927,0.0196000000,5
815088,0.0092600000,4
815295,0.0260000000,5
815314,0.0078700000,3
815411,0.0553000000,8
815554,0.0039200000,2
815577,0.0039200000,3
815586,0.0154000000,4
815587,0.0276000000,4
815666,0.0039200000,5
815875,0.0082500000,4
816089,0.0105000000,6
816145,0.0094600000,3
816234,0.0063300000,4
816242,0.0073900000,2
816640,0.0039200000,2
816653,0.0866281831,6
816838,0.0039200000,8
816850,0.0039200000,3
816952,0.0341000000,8
817083,0.0108000000,3
817112,0.0039200000,2
817183,0.0382000000,8
817204,0.0055900000,2
817246,0.0242000000,4
817742,0.0163000000,2
817900,0.0418000000,5
817907,0.0150000000,4
818146,0.0090400000,2
818155,0.0039200000,5
818277,0.0131000000,6
818340,0.0826807242,7
818440,0.0086700000,5
818666,0.0149000000,2
818690,0.0039200000,9
818790,0.0039200000,7
818797,0.0145000000,2
818814,0.0261000000,5
818851,0.0138000000,2
818878,0.0090000000,2
819068,0.0039200000,7
819268,0.0087000000,6
819302,0.0039200000,3
819425,0.0039200000,6
819522,0.0288000000,4
819613,0.0039200000,2
819647,0.0116000000,6
819672,0.0039200000,2
819999,0.0637000000,6
820025,0.0082000000,2
820251,0.0147000000,5
820272,0.0210000000,5
820585,0.0839043863,7
820661,0.0188000000,5
821083,0.0039200000,4
821609,0.0264000000,5
821637,0.0039200000,3
821669,0.0039200000,2
821949,0.0039200000,3
821996,0.0039200000,2
822112,0.0039200000,2
822482,0.0174000000,2
822506,0.0274000000,8
822715,0.0172000000,7
823054,0.0153000000,6
823083,0.0840148633,7
823106,0.0187000000,2
823115,0.0366000000,8
823261,0.0295000000,7
823288,0.0169000000,3
823350,0.0039200000,3
823506,0.0091600000,2
823784,0.0120000000,2
823999,0.0125000000,5
824087,0.0039200000,2
824130,0.0204000000,2
824155,0.0233000000,7
826951,0.0039200000,7
831481,0.0457000000,4
832331,0.0039200000,9
834711,0.0039200000,5
836241,0.0067100000,4
837791,0.0076400000,5
839201,0.0223000000,3
839321,0.0827373357,2
840561,0.0215000000,8
843631,0.0459000000,8
847721,0.0090700000,2
